year,month,pdo,date
1991,2,-1.19,1991-02-01
1991,3,-0.74,1991-03-01
1991,4,-1.01,1991-04-01
1991,5,-0.51,1991-05-01
1991,6,-1.47,1991-06-01
1991,7,-0.1,1991-07-01
1991,8,0.36,1991-08-01
1991,9,0.65,1991-09-01
1991,10,0.49,1991-10-01
1991,11,0.42,1991-11-01
1991,12,0.09,1991-12-01
1992,1,0.05,1992-01-01
1992,2,0.31,1992-02-01
1992,3,0.67,1992-03-01
1992,4,0.75,1992-04-01
1992,5,1.54,1992-05-01
1992,6,1.26,1992-06-01
1992,7,1.9,1992-07-01
1992,8,1.44,1992-08-01
1992,9,0.83,1992-09-01
1992,10,0.93,1992-10-01
1992,11,0.93,1992-11-01
1992,12,0.53,1992-12-01
1993,1,0.05,1993-01-01
1993,2,0.19,1993-02-01
1993,3,0.76,1993-03-01
1993,4,1.21,1993-04-01
1993,5,2.13,1993-05-01
1993,6,2.34,1993-06-01
1993,7,2.35,1993-07-01
1993,8,2.69,1993-08-01
1993,9,1.56,1993-09-01
1993,10,1.41,1993-10-01
1993,11,1.24,1993-11-01
1993,12,1.07,1993-12-01
1994,1,1.21,1994-01-01
1994,2,0.59,1994-02-01
1994,3,0.8,1994-03-01
1994,4,1.05,1994-04-01
1994,5,1.23,1994-05-01
1994,6,0.46,1994-06-01
1994,7,0.06,1994-07-01
1994,8,-0.79,1994-08-01
1994,9,-1.36,1994-09-01
1994,10,-1.32,1994-10-01
1994,11,-1.96,1994-11-01
1994,12,-1.79,1994-12-01
1995,1,-0.49,1995-01-01
1995,2,0.46,1995-02-01
1995,3,0.75,1995-03-01
1995,4,0.83,1995-04-01
1995,5,1.46,1995-05-01
1995,6,1.27,1995-06-01
1995,7,1.71,1995-07-01
1995,8,0.21,1995-08-01
1995,9,1.16,1995-09-01
1995,10,0.47,1995-10-01
1995,11,-0.28,1995-11-01
1995,12,0.16,1995-12-01
1996,1,0.59,1996-01-01
1996,2,0.75,1996-02-01
1996,3,1.01,1996-03-01
1996,4,1.46,1996-04-01
1996,5,2.18,1996-05-01
1996,6,1.1,1996-06-01
1996,7,0.77,1996-07-01
1996,8,-0.14,1996-08-01
1996,9,0.24,1996-09-01
1996,10,-0.33,1996-10-01
1996,11,0.09,1996-11-01
1996,12,-0.03,1996-12-01
1997,1,0.23,1997-01-01
1997,2,0.28,1997-02-01
1997,3,0.65,1997-03-01
1997,4,1.05,1997-04-01
1997,5,1.83,1997-05-01
1997,6,2.76,1997-06-01
1997,7,2.35,1997-07-01
1997,8,2.79,1997-08-01
1997,9,2.19,1997-09-01
1997,10,1.61,1997-10-01
1997,11,1.12,1997-11-01
1997,12,0.67,1997-12-01
1998,1,0.83,1998-01-01
1998,2,1.56,1998-02-01
1998,3,2.01,1998-03-01
1998,4,1.27,1998-04-01
1998,5,0.7,1998-05-01
1998,6,0.4,1998-06-01
1998,7,-0.04,1998-07-01
1998,8,-0.22,1998-08-01
1998,9,-1.21,1998-09-01
1998,10,-1.39,1998-10-01
1998,11,-0.52,1998-11-01
1998,12,-0.44,1998-12-01
1999,1,-0.32,1999-01-01
1999,2,-0.66,1999-02-01
1999,3,-0.33,1999-03-01
1999,4,-0.41,1999-04-01
1999,5,-0.68,1999-05-01
1999,6,-1.3,1999-06-01
