lat,lon,sst,anom,date
-65.875,48.125,-1.738,-0.034,2026-06
-65.875,50.125,-1.786,-0.074,2026-06
-65.875,52.125,-1.746,-0.054,2026-06
-65.875,54.125,-1.708,-0.063,2026-06
-65.875,56.125,-1.741,-0.077,2026-06
-65.875,58.125,-1.8,-0.041,2026-06
-65.875,60.125,-1.8,-0.033,2026-06
-65.875,62.125,-1.8,-0.036,2026-06
-65.875,64.125,-1.8,-0.04,2026-06
-65.875,66.125,-1.799,-0.055,2026-06
-65.875,68.125,-1.798,-0.074,2026-06
-65.875,70.125,-1.8,-0.072,2026-06
-65.875,72.125,-1.8,-0.065,2026-06
-65.875,74.125,-1.798,-0.057,2026-06
-65.875,76.125,-1.796,-0.057,2026-06
-65.875,78.125,-1.798,-0.059,2026-06
-65.875,80.125,-1.788,-0.072,2026-06
-65.875,82.125,-1.8,-0.066,2026-06
-65.875,84.125,-1.8,-0.047,2026-06
-65.875,86.125,-1.781,-0.119,2026-06
-65.875,88.125,-1.8,-0.075,2026-06
-65.875,90.125,-1.8,-0.059,2026-06
-65.875,92.125,-1.768,-0.129,2026-06
-65.875,94.125,-1.737,-0.164,2026-06
-65.875,96.125,-1.651,-0.208,2026-06
-65.875,98.125,-1.693,-0.156,2026-06
-65.875,100.125,-1.712,-0.08,2026-06
-65.875,102.125,-1.781,-0.205,2026-06
-65.875,104.125,-1.767,-0.125,2026-06
-65.875,106.125,-1.796,-0.06,2026-06
-65.875,108.125,-1.781,-0.079,2026-06
-65.875,110.125,-1.742,-0.14,2026-06
-65.875,112.125,-1.76,-0.171,2026-06
-65.875,114.125,-1.76,-0.123,2026-06
-65.875,116.125,-1.786,-0.09,2026-06
-65.875,118.125,-1.798,-0.051,2026-06
-65.875,120.125,-1.765,-0.13,2026-06
-65.875,122.125,-1.756,-0.078,2026-06
-65.875,124.125,-1.713,-0.139,2026-06
-65.875,126.125,-1.721,-0.069,2026-06
-65.875,128.125,-1.8,-0.117,2026-06
-65.875,130.125,-1.796,-0.104,2026-06
-65.875,132.125,-1.771,-0.157,2026-06
-65.875,134.125,-1.737,-0.261,2026-06
-65.875,136.125,-1.742,-0.044,2026-06
-65.875,138.125,-1.796,-0.056,2026-06
-65.875,140.125,-1.797,-0.095,2026-06
-65.875,142.125,-1.777,-0.102,2026-06
-65.875,144.125,-1.8,-0.149,2026-06
-65.875,146.125,-1.796,-0.197,2026-06
-65.875,148.125,-1.792,-0.124,2026-06
-65.875,150.125,-1.789,-0.091,2026-06
-65.875,152.125,-1.791,-0.079,2026-06
-65.875,154.125,-1.791,-0.086,2026-06
-65.875,156.125,-1.782,-0.092,2026-06
