year,month,nino12,date
1991,10,0.65,1991-10-01
1991,11,0.72,1991-11-01
1991,12,0.83,1991-12-01
1992,1,0.47,1992-01-01
1992,2,0.61,1992-02-01
1992,3,1.24,1992-03-01
1992,4,2.19,1992-04-01
1992,5,2.22,1992-05-01
1992,6,0.85,1992-06-01
1992,7,-0.07,1992-07-01
1992,8,-0.14,1992-08-01
1992,9,0.03,1992-09-01
1992,10,0.01,1992-10-01
1992,11,-0.07,1992-11-01
1992,12,-0.1,1992-12-01
1993,1,-0.01,1993-01-01
1993,2,0.3,1993-02-01
1993,3,0.6,1993-03-01
1993,4,1.25,1993-04-01
1993,5,1.15,1993-05-01
1993,6,1.04,1993-06-01
1993,7,0.7,1993-07-01
1993,8,0.56,1993-08-01
1993,9,0.38,1993-09-01
1993,10,0.55,1993-10-01
1993,11,0.31,1993-11-01
1993,12,0.02,1993-12-01
1994,1,-0.09,1994-01-01
1994,2,-0.33,1994-02-01
1994,3,-1.01,1994-03-01
1994,4,-1.27,1994-04-01
1994,5,-1.06,1994-05-01
1994,6,-0.91,1994-06-01
1994,7,-0.87,1994-07-01
1994,8,-1.03,1994-08-01
1994,9,-0.15,1994-09-01
1994,10,0.8,1994-10-01
1994,11,0.6,1994-11-01
1994,12,0.86,1994-12-01
1995,1,0.73,1995-01-01
1995,2,0.1,1995-02-01
1995,3,-0.49,1995-03-01
1995,4,-1.55,1995-04-01
1995,5,-1.41,1995-05-01
1995,6,-0.93,1995-06-01
1995,7,-0.61,1995-07-01
1995,8,-0.41,1995-08-01
1995,9,-0.28,1995-09-01
1995,10,-0.55,1995-10-01
1995,11,-0.28,1995-11-01
1995,12,-0.85,1995-12-01
1996,1,-0.65,1996-01-01
1996,2,-0.44,1996-02-01
1996,3,-0.33,1996-03-01
1996,4,-1.92,1996-04-01
1996,5,-1.44,1996-05-01
1996,6,-1.89,1996-06-01
1996,7,-1.26,1996-07-01
1996,8,-0.87,1996-08-01
1996,9,-0.65,1996-09-01
1996,10,-0.7,1996-10-01
1996,11,-1.1,1996-11-01
1996,12,-1.13,1996-12-01
1997,1,-0.9,1997-01-01
1997,2,-0.22,1997-02-01
1997,3,0.54,1997-03-01
1997,4,0.91,1997-04-01
1997,5,2.12,1997-05-01
1997,6,3.0,1997-06-01
1997,7,3.63,1997-07-01
1997,8,3.96,1997-08-01
1997,9,3.96,1997-09-01
1997,10,3.67,1997-10-01
1997,11,4.47,1997-11-01
1997,12,4.25,1997-12-01
1998,1,3.55,1998-01-01
1998,2,2.64,1998-02-01
1998,3,2.74,1998-03-01
1998,4,2.68,1998-04-01
1998,5,2.72,1998-05-01
1998,6,2.24,1998-06-01
1998,7,1.42,1998-07-01
1998,8,0.96,1998-08-01
1998,9,0.22,1998-09-01
1998,10,0.33,1998-10-01
1998,11,-0.14,1998-11-01
1998,12,-0.18,1998-12-01
1999,1,-0.78,1999-01-01
1999,2,-0.54,1999-02-01
1999,3,-0.04,1999-03-01
1999,4,-0.9,1999-04-01
1999,5,-0.69,1999-05-01
1999,6,-0.76,1999-06-01
1999,7,-0.23,1999-07-01
1999,8,-0.11,1999-08-01
1999,9,-1.05,1999-09-01
1999,10,-0.86,1999-10-01
1999,11,-1.23,1999-11-01
1999,12,-0.64,1999-12-01
2000,1,-0.76,2000-01-01
2000,2,-0.62,2000-02-01
2000,3,-0.47,2000-03-01
2000,4,-0.04,2000-04-01
2000,5,-0.4,2000-05-01
2000,6,-0.38,2000-06-01
2000,7,-0.28,2000-07-01
2000,8,-0.57,2000-08-01
2000,9,-0.23,2000-09-01
2000,10,-0.27,2000-10-01
2000,11,-1.19,2000-11-01
2000,12,-0.96,2000-12-01
2001,1,-0.63,2001-01-01
2001,2,-0.48,2001-02-01
2001,3,0.17,2001-03-01
2001,4,0.18,2001-04-01
2001,5,-0.71,2001-05-01
2001,6,-0.85,2001-06-01
2001,7,-0.58,2001-07-01
2001,8,-0.84,2001-08-01
2001,9,-1.13,2001-09-01
2001,10,-1.13,2001-10-01
2001,11,-0.89,2001-11-01
2001,12,-1.02,2001-12-01
2002,1,-0.78,2002-01-01
2002,2,-0.07,2002-02-01
2002,3,0.77,2002-03-01
2002,4,0.82,2002-04-01
2002,5,0.63,2002-05-01
2002,6,0.38,2002-06-01
2002,7,-0.23,2002-07-01
2002,8,-0.26,2002-08-01
2002,9,0.2,2002-09-01
2002,10,0.37,2002-10-01
2002,11,0.97,2002-11-01
2002,12,1.1,2002-12-01
2003,1,0.13,2003-01-01
2003,2,-0.12,2003-02-01
2003,3,-0.07,2003-03-01
2003,4,-0.56,2003-04-01
2003,5,-1.65,2003-05-01
2003,6,-1.35,2003-06-01
2003,7,-1.01,2003-07-01
2003,8,0.01,2003-08-01
2003,9,-0.45,2003-09-01
2003,10,0.23,2003-10-01
2003,11,0.28,2003-11-01
2003,12,0.22,2003-12-01
2004,1,-0.21,2004-01-01
2004,2,-0.07,2004-02-01
2004,3,-0.74,2004-03-01
2004,4,-0.57,2004-04-01
2004,5,-1.59,2004-05-01
2004,6,-1.07,2004-06-01
2004,7,-0.78,2004-07-01
2004,8,-0.75,2004-08-01
2004,9,-0.27,2004-09-01
2004,10,0.15,2004-10-01
2004,11,0.72,2004-11-01
2004,12,0.36,2004-12-01
2005,1,-0.02,2005-01-01
2005,2,-0.94,2005-02-01
2005,3,-1.46,2005-03-01
2005,4,-0.42,2005-04-01
2005,5,-0.38,2005-05-01
2005,6,-0.77,2005-06-01
2005,7,-0.35,2005-07-01
2005,8,-0.4,2005-08-01
2005,9,-0.74,2005-09-01
2005,10,-1.27,2005-10-01
2005,11,-1.43,2005-11-01
2005,12,-0.92,2005-12-01
2006,1,-0.37,2006-01-01
2006,2,0.22,2006-02-01
2006,3,-0.29,2006-03-01
2006,4,-1.5,2006-04-01
2006,5,-0.56,2006-05-01
2006,6,-0.21,2006-06-01
2006,7,0.2,2006-07-01
2006,8,0.7,2006-08-01
2006,9,0.97,2006-09-01
2006,10,1.05,2006-10-01
2006,11,0.79,2006-11-01
2006,12,0.71,2006-12-01
2007,1,0.66,2007-01-01
2007,2,0.11,2007-02-01
2007,3,-0.64,2007-03-01
2007,4,-1.22,2007-04-01
2007,5,-1.79,2007-05-01
2007,6,-1.61,2007-06-01
2007,7,-0.98,2007-07-01
2007,8,-1.2,2007-08-01
2007,9,-0.97,2007-09-01
2007,10,-1.52,2007-10-01
2007,11,-1.73,2007-11-01
2007,12,-1.66,2007-12-01
2008,1,-0.48,2008-01-01
2008,2,0.22,2008-02-01
2008,3,0.39,2008-03-01
2008,4,0.41,2008-04-01
2008,5,0.54,2008-05-01
2008,6,0.55,2008-06-01
2008,7,0.99,2008-07-01
2008,8,1.4,2008-08-01
2008,9,1.02,2008-09-01
2008,10,0.35,2008-10-01
2008,11,-0.28,2008-11-01
2008,12,-0.45,2008-12-01
2009,1,-0.17,2009-01-01
2009,2,-0.68,2009-02-01
2009,3,-0.81,2009-03-01
2009,4,0.41,2009-04-01
2009,5,0.34,2009-05-01
2009,6,0.65,2009-06-01
2009,7,0.75,2009-07-01
2009,8,0.84,2009-08-01
2009,9,0.51,2009-09-01
2009,10,0.32,2009-10-01
2009,11,0.33,2009-11-01
2009,12,0.6,2009-12-01
2010,1,0.28,2010-01-01
2010,2,0.12,2010-02-01
2010,3,0.07,2010-03-01
